state,district,year,month,bio_5_17,bio_17_plus
Odisha,Sundergarh,2025,3,32,36
Andhra Pradesh,West Godavari,2025,3,89,75
Rajasthan,Jaisalmer,2025,3,306,319
Uttar Pradesh,Banda,2025,3,208,185
Odisha,Cuttack,2025,3,38,96
West Bengal,Nadia,2025,3,25,31
Rajasthan,Bikaner,2025,3,100,130
Tamil Nadu,Tiruvallur,2025,3,101,19
Bihar,Jehanabad,2025,3,30,39
Madhya Pradesh,Neemuch,2025,3,55,13
Gujarat,Junagadh,2025,3,13,19
Assam,North Cachar Hills,2025,3,18,22
Jharkhand,Deoghar,2025,3,275,310
Kerala,Pathanamthitta,2025,3,23,86
Delhi,South Delhi,2025,3,336,573
Telangana,Mahabubnagar,2025,3,321,275
Andhra Pradesh,Kurnool,2025,3,274,183
Jammu And Kashmir,Udhampur,2025,3,151,219
Kerala,Palakkad,2025,3,66,157
Rajasthan,Rajsamand,2025,3,173,159
Uttar Pradesh,Hardoi,2025,3,407,217
Assam,North Cachar Hills,2025,3,20,29
Karnataka,Gadag,2025,3,88,39
Tamil Nadu,Dindigul,2025,3,35,117
Odisha,Puri,2025,3,85,190
Madhya Pradesh,Panna,2025,3,477,697
Andhra Pradesh,Cuddapah,2025,3,607,290
Gujarat,Valsad,2025,3,294,261
Bihar,Nalanda,2025,3,23,70
Jharkhand,Dhanbad,2025,3,51,61
Bihar,Jamui,2025,3,220,248
Karnataka,Tumkur,2025,3,19,59
Karnataka,Belgaum,2025,3,14,47
Uttar Pradesh,Ballia,2025,3,86,78
Andhra Pradesh,Nellore,2025,3,92,143
Uttar Pradesh,Sultanpur,2025,3,344,189
Karnataka,Hasan,2025,3,17,164
Tamil Nadu,Vellore,2025,3,86,56
West Bengal,Barddhaman,2025,3,41,28
Assam,Kamrup,2025,3,110,51
Andhra Pradesh,Anantapur,2025,3,15,34
Jharkhand,Godda,2025,3,33,67
Uttar Pradesh,Hathras,2025,3,52,15
Tamil Nadu,Namakkal,2025,3,73,70
Tamil Nadu,Kanniyakumari,2025,3,44,168
Kerala,Thrissur,2025,3,22,36
West Bengal,Barddhaman,2025,3,32,47
Maharashtra,Sindhudurg,2025,3,10,34
Maharashtra,Mumbai Suburban,2025,3,51,51
Bihar,Bhagalpur,2025,3,27,47
Telangana,Jagitial,2025,3,41,36
Madhya Pradesh,Rajgarh,2025,3,785,1035
Bihar,Rohtas,2025,3,217,288
Madhya Pradesh,Tikamgarh,2025,3,824,1678
Bihar,Arwal,2025,3,168,347
Uttar Pradesh,Ambedkar Nagar,2025,3,72,90
Maharashtra,Thane,2025,3,403,1227
Kerala,Palakkad,2025,3,69,105
Karnataka,Bengaluru,2025,3,102,139
Madhya Pradesh,Seoni,2025,3,335,429
Uttar Pradesh,Etawah,2025,3,227,130
Madhya Pradesh,Bhind,2025,3,248,122
Uttar Pradesh,Jhansi,2025,3,311,189
Telangana,Hyderabad,2025,3,389,496
Andhra Pradesh,Srikakulam,2025,3,118,32
Chhattisgarh,Janjgir-Champa,2025,3,131,545
Uttar Pradesh,Kanpur Nagar,2025,3,98,45
Tamil Nadu,Virudhunagar,2025,3,135,77
Rajasthan,Sikar,2025,3,77,251
Kerala,Malappuram,2025,3,73,129
Tamil Nadu,Tiruchirappalli,2025,3,53,73
Andhra Pradesh,Kurnool,2025,3,151,38
Himachal Pradesh,Kangra,2025,3,11,14
Rajasthan,Rajsamand,2025,3,113,83
Andhra Pradesh,Hyderabad,2025,3,37,192
Orissa,Balangir,2025,3,14,75
Bihar,Madhubani,2025,3,26,51
West Bengal,Bardhaman,2025,3,12,19
Telangana,Warangal,2025,3,43,29
Uttar Pradesh,Budaun,2025,3,12,27
Karnataka,Dakshina Kannada,2025,3,12,27
Gujarat,Arvalli,2025,3,16,15
Bihar,Siwan,2025,3,218,378
Kerala,Kannur,2025,3,69,117
Karnataka,Chikkaballapur,2025,3,417,137
Jharkhand,Jamtara,2025,3,358,592
Madhya Pradesh,Shivpuri,2025,3,420,655
Rajasthan,Bhilwara,2025,3,51,52
Tamil Nadu,Thoothukkudi,2025,3,92,172
Tamil Nadu,The Nilgiris,2025,3,34,43
Delhi,North West Delhi,2025,3,745,940
Jharkhand,Palamu,2025,3,28,26
Rajasthan,Sikar,2025,3,74,176
Tamil Nadu,Coimbatore,2025,3,130,509
Chhattisgarh,Dakshin Bastar Dantewada,2025,3,83,174
Madhya Pradesh,Khargone,2025,3,781,1455
Punjab,Mansa,2025,3,30,127
Maharashtra,Mumbai,2025,3,43,203
Tamil Nadu,Sivaganga,2025,3,43,63
Gujarat,Surendra Nagar,2025,3,34,47
Maharashtra,Pune,2025,3,146,189
Tamil Nadu,Pudukkottai,2025,3,206,166
Andhra Pradesh,Rangareddi,2025,3,31,134
Andhra Pradesh,Ananthapuramu,2025,3,118,12
Karnataka,Gulbarga,2025,3,44,163
Andhra Pradesh,Warangal,2025,3,12,81
Andhra Pradesh,Krishna,2025,3,96,28
Andhra Pradesh,East Godavari,2025,3,105,41
Rajasthan,Jaipur,2025,3,63,116
Gujarat,Surat,2025,3,13,18
Goa,North Goa,2025,3,33,32
Uttar Pradesh,Sambhal,2025,3,21,9
Karnataka,Chickmagalur,2025,3,16,35
Karnataka,Bidar,2025,3,303,302
Uttar Pradesh,Bara Banki,2025,3,746,369
Andhra Pradesh,Ananthapur,2025,3,440,74
Chhattisgarh,Kondagaon,2025,3,299,973
Odisha,Baleswar,2025,3,49,88
Punjab,Amritsar,2025,3,674,1721
Tamil Nadu,Tiruvallur,2025,3,323,95
Tamil Nadu,Dindigul,2025,3,307,113
Bihar,Jehanabad,2025,3,203,321
Tamil Nadu,Tirunelveli,2025,3,266,111
Gujarat,Gandhinagar,2025,3,51,49
Kerala,Kozhikode,2025,3,60,76
Uttar Pradesh,Basti,2025,3,300,222
Maharashtra,Nashik,2025,3,297,589
Telangana,Medak,2025,3,32,51
West Bengal,Paschim Medinipur,2025,3,248,334
Madhya Pradesh,Katni,2025,3,161,1010
Jharkhand,Gumla,2025,3,180,390
West Bengal,Birbhum,2025,3,119,125
Andhra Pradesh,Eluru,2025,3,11,13
Kerala,Kannur,2025,3,33,103
Maharashtra,Mumbai,2025,3,100,531
Uttar Pradesh,Mainpuri,2025,3,257,125
Haryana,Rewari,2025,3,96,155
Tamil Nadu,Thoothukkudi,2025,3,191,159
Tamil Nadu,Cuddalore,2025,3,240,148
West Bengal,Nadia,2025,3,118,167
Tamil Nadu,Thanjavur,2025,3,170,75
Karnataka,Bangalore,2025,3,74,367
Andhra Pradesh,Krishna,2025,3,219,242
Andhra Pradesh,Nellore,2025,3,66,38
Uttar Pradesh,Prayagraj,2025,3,31,55
Uttar Pradesh,Bahraich,2025,3,328,178
Odisha,Khorda,2025,3,74,202
Punjab,Hoshiarpur,2025,3,45,129
Madhya Pradesh,Betul,2025,3,43,93
Andhra Pradesh,Guntur,2025,3,65,55
Tamil Nadu,Kancheepuram,2025,3,140,81
Madhya Pradesh,Singrauli,2025,3,15,11
West Bengal,Bankura,2025,3,13,12
Karnataka,Tumkur,2025,3,18,40
Himachal Pradesh,Sirmaur,2025,3,10,7
Uttar Pradesh,Deoria,2025,3,203,174
Maharashtra,Jalgaon,2025,3,416,697
Gujarat,Porbandar,2025,3,633,693
Uttar Pradesh,Ghaziabad,2025,3,301,261
Bihar,Katihar,2025,3,987,972
Uttar Pradesh,Pratapgarh,2025,3,388,348
Uttar Pradesh,Lucknow,2025,3,198,105
Odisha,Kendujhar,2025,3,76,211
Tamil Nadu,Namakkal,2025,3,115,152
Mizoram,Champhai,2025,3,1120,271
Tamil Nadu,Thanjavur,2025,3,114,414
Bihar,Madhubani,2025,3,904,839
Himachal Pradesh,Mandi,2025,3,84,114
Odisha,Rayagada,2025,3,92,190
Punjab,Hoshiarpur,2025,3,51,160
Rajasthan,Sawai Madhopur,2025,3,62,149
Uttar Pradesh,Shahjahanpur,2025,3,981,330
Gujarat,Junagadh,2025,3,94,161
Tamil Nadu,Krishnagiri,2025,3,248,118
Andhra Pradesh,Cuddapah,2025,3,340,159
Maharashtra,Yavatmal,2025,3,142,497
Kerala,Alappuzha,2025,3,20,25
Maharashtra,Thane,2025,3,116,455
Andhra Pradesh,West Godavari,2025,3,98,43
Tamil Nadu,Tiruvallur,2025,3,166,393
Gujarat,Vadodara,2025,3,165,316
Telangana,Medak,2025,3,20,35
Haryana,Sirsa,2025,3,163,288
Punjab,Rupnagar,2025,3,59,138
Karnataka,Hassan,2025,3,10,19
Karnataka,Shimoga,2025,3,39,103
Karnataka,Kolar,2025,3,77,83
Punjab,Faridkot,2025,3,13,57
Andhra Pradesh,Vizianagaram,2025,3,21,13
Telangana,Karimnagar,2025,3,27,72
Uttar Pradesh,Prayagraj,2025,3,28,19
Tamil Nadu,Tenkasi,2025,3,14,5
Kerala,Wayanad,2025,3,30,49
Maharashtra,Ratnagiri,2025,3,101,350
Maharashtra,Chandrapur,2025,3,48,48
Madhya Pradesh,Singrauli,2025,3,157,58
Jammu And Kashmir,Srinagar,2025,3,56,181
Haryana,Hisar,2025,3,289,340
Bihar,East Champaran,2025,3,142,343
Odisha,Ganjam,2025,3,68,134
Haryana,Sonipat,2025,3,220,560
Jammu And Kashmir,Leh,2025,3,100,67
Odisha,Sundergarh,2025,3,385,544
Uttarakhand,Pauri Garhwal,2025,3,20,19
West Bengal,North 24 Parganas,2025,3,91,165
Maharashtra,Jalgaon,2025,3,175,395
Maharashtra,Sindhudurg,2025,3,38,302
West Bengal,Jalpaiguri,2025,3,64,58
Himachal Pradesh,Kangra,2025,3,137,110
Bihar,Kishanganj,2025,3,38,54
Kerala,Ernakulam,2025,3,35,83
Tamil Nadu,Vellore,2025,3,37,36
Himachal Pradesh,Solan,2025,3,51,69
Maharashtra,Palghar,2025,3,31,35
Gujarat,Surendra Nagar,2025,3,47,41
West Bengal,Hooghly,2025,3,59,99
Tamil Nadu,Tirunelveli,2025,3,10,4
Madhya Pradesh,Panna,2025,3,472,1003
Andhra Pradesh,Kurnool,2025,3,929,457
Madhya Pradesh,Ratlam,2025,3,319,344
Madhya Pradesh,Panna,2025,3,890,1393
Maharashtra,Nanded,2025,3,226,397
Chhattisgarh,Raipur,2025,3,177,844
Odisha,Baleshwar,2025,3,13,55
Telangana,Adilabad,2025,3,135,389
Rajasthan,Karauli,2025,3,424,399
Telangana,K.V. Rangareddy,2025,3,274,505
Gujarat,Panchmahals,2025,3,89,188
Uttar Pradesh,Jaunpur,2025,3,174,138
Rajasthan,Hanumangarh,2025,3,37,150
Uttarakhand,Pithoragarh,2025,3,17,37
Tamil Nadu,Coimbatore,2025,3,234,190
Tamil Nadu,Dindigul,2025,3,371,736
Uttar Pradesh,Kanpur Dehat,2025,3,224,78
Maharashtra,Kolhapur,2025,3,47,99
Rajasthan,Rajsamand,2025,3,38,36
Andhra Pradesh,Ananthapur,2025,3,92,11
West Bengal,North 24 Parganas,2025,3,86,83
Kerala,Kottayam,2025,3,36,72
Karnataka,Tumkur,2025,3,39,167
Punjab,Bathinda,2025,3,109,240
Telangana,Wanaparthy,2025,3,34,58
Kerala,Kollam,2025,3,20,33
Karnataka,Belagavi,2025,3,36,16
West Bengal,Birbhum,2025,3,32,62
Tamil Nadu,Virudhunagar,2025,3,16,15
Andhra Pradesh,Ananthapur,2025,3,21,5
Karnataka,Shivamogga,2025,3,10,8
West Bengal,Barddhaman,2025,3,16,28
Tamil Nadu,Sivaganga,2025,3,20,65
Karnataka,Vijayanagara,2025,3,10,4
Uttar Pradesh,Bara Banki,2025,3,588,186
Telangana,Nalgonda,2025,3,59,73
Bihar,Patna,2025,3,147,205
Gujarat,Kheda,2025,3,294,374
Uttar Pradesh,Hathras,2025,3,2280,606
Gujarat,Kachchh,2025,3,1137,950
Andhra Pradesh,Prakasam,2025,3,95,49
Karnataka,Tumakuru,2025,3,27,42
Madhya Pradesh,Sehore,2025,3,296,490
Maharashtra,Pune,2025,3,92,102
Maharashtra,Buldhana,2025,3,100,290
Madhya Pradesh,Khandwa,2025,3,612,324
Karnataka,Gadag,2025,3,344,236
Bihar,Madhubani,2025,3,146,171
Chhattisgarh,Korba,2025,3,849,581
Telangana,K.V. Rangareddy,2025,3,150,332
Uttar Pradesh,Meerut,2025,3,350,76
Uttar Pradesh,Kannauj,2025,3,33,16
West Bengal,Paschim Medinipur,2025,3,77,154
Jharkhand,Purbi Singhbhum,2025,3,23,83
Uttar Pradesh,Mirzapur,2025,3,593,341
Kerala,Idukki,2025,3,52,100
Andhra Pradesh,Cuddapah,2025,3,80,42
Bihar,Lakhisarai,2025,3,125,147
Kerala,Thrissur,2025,3,68,73
West Bengal,East Midnapore,2025,3,25,65
Punjab,Jalandhar,2025,3,37,123
Telangana,Nalgonda,2025,3,102,86
Karnataka,Mysore,2025,3,18,73
Punjab,Hoshiarpur,2025,3,76,284
Kerala,Malappuram,2025,3,102,73
Karnataka,Mysore,2025,3,61,115
Andhra Pradesh,East Godavari,2025,3,64,44
Karnataka,Hassan,2025,3,16,24
Kerala,Kasaragod,2025,3,46,91
Rajasthan,Jhunjhunun,2025,3,16,32
Himachal Pradesh,Kangra,2025,3,32,37
Odisha,Sundergarh,2025,3,57,38
Uttar Pradesh,Sonbhadra,2025,3,35,22
Kerala,Pathanamthitta,2025,3,14,30
Kerala,Alappuzha,2025,3,14,14
Andhra Pradesh,Srikakulam,2025,3,681,231
Bihar,Lakhisarai,2025,3,783,492
Maharashtra,Mumbai,2025,3,37,239
Bihar,Rohtas,2025,3,391,448
Jammu And Kashmir,Jammu,2025,3,161,391
Tamil Nadu,Coimbatore,2025,3,44,118
Jharkhand,East Singhbhum,2025,3,525,447
Haryana,Mewat,2025,3,532,499
Rajasthan,Jalor,2025,3,361,588
Uttar Pradesh,Ghaziabad,2025,3,35,40
Andhra Pradesh,Kurnool,2025,3,218,114
Tamil Nadu,Pudukkottai,2025,3,241,283
Tamil Nadu,Salem,2025,3,122,61
Madhya Pradesh,Khargone,2025,3,379,412
Karnataka,Kolar,2025,3,445,709
Gujarat,Arvalli,2025,3,257,169
Punjab,Hoshiarpur,2025,3,127,445
Madhya Pradesh,Bhopal,2025,3,35,17
Kerala,Kasaragod,2025,3,73,65
Andhra Pradesh,Kurnool,2025,3,422,62
Gujarat,Tapi,2025,3,212,276
Kerala,Kasaragod,2025,3,156,135
Maharashtra,Osmanabad,2025,3,133,210
West Bengal,Barddhaman,2025,3,55,74
Telangana,Peddapalli,2025,3,11,18
Karnataka,Bengaluru,2025,3,138,195
Odisha,Kendujhar,2025,3,56,120
Andhra Pradesh,Vizianagaram,2025,3,90,38
Telangana,Nalgonda,2025,3,110,46
Kerala,Malappuram,2025,3,43,91
Odisha,Jajpur,2025,3,15,23
Uttar Pradesh,Jaunpur,2025,3,52,44
Odisha,Dhenkanal,2025,3,27,40
Maharashtra,Satara,2025,3,68,179
Uttar Pradesh,Varanasi,2025,3,23,17
Assam,Karimganj,2025,3,15,19
Uttar Pradesh,Ghaziabad,2025,3,1083,388
Odisha,Cuttack,2025,3,98,210
Uttar Pradesh,Baghpat,2025,3,93,45
Andhra Pradesh,Guntur,2025,3,183,95
Maharashtra,Nashik,2025,3,221,406
Maharashtra,Pune,2025,3,336,806
Bihar,Darbhanga,2025,3,455,640
Karnataka,Haveri,2025,3,351,161
Gujarat,Panchmahals,2025,3,256,473
West Bengal,Puruliya,2025,3,40,68
Kerala,Kannur,2025,3,59,102
Bihar,Rohtas,2025,3,324,349
Jammu And Kashmir,Rajouri,2025,3,442,622
Rajasthan,Sawai Madhopur,2025,3,48,59
Uttar Pradesh,Azamgarh,2025,3,284,319
Telangana,Warangal,2025,3,40,34
Karnataka,Udupi,2025,3,49,34
Uttar Pradesh,Jaunpur,2025,3,37,33
Uttar Pradesh,Unnao,2025,3,13,11
Maharashtra,Satara,2025,3,77,143
Maharashtra,Nagpur,2025,3,211,617
Uttar Pradesh,Jaunpur,2025,3,160,178
Tamil Nadu,The Nilgiris,2025,3,87,63
Maharashtra,Nashik,2025,3,156,348
Haryana,Rohtak,2025,3,11,40
Kerala,Kozhikode,2025,3,54,63
Orissa,Puri,2025,3,12,21
Uttarakhand,Dehradun,2025,3,53,106
Tamil Nadu,Kanniyakumari,2025,3,31,89
Manipur,Imphal West,2025,3,115,124
Gujarat,Bhavnagar,2025,3,47,168
Himachal Pradesh,Hamirpur,2025,3,21,38
Tamil Nadu,Kanyakumari,2025,3,15,12
Andhra Pradesh,Bapatla,2025,3,16,33
Uttarakhand,Pithoragarh,2025,3,40,46
Himachal Pradesh,Kullu,2025,3,23,17
West Bengal,Kolkata,2025,3,38,111
Punjab,Amritsar,2025,3,2046,3687
Rajasthan,Pali,2025,3,244,1381
Maharashtra,Pune,2025,3,171,274
Rajasthan,Nagaur,2025,3,952,1419
Tamil Nadu,Kallakurichi,2025,3,26,21
Andhra Pradesh,Guntur,2025,3,570,365
Jharkhand,Godda,2025,3,1173,1016
West Bengal,North 24 Parganas,2025,3,113,324
Andhra Pradesh,Vizianagaram,2025,3,463,196
Uttar Pradesh,Mathura,2025,3,267,45
Odisha,Bhadrak,2025,3,64,163
Bihar,Purnia,2025,3,173,305
Tamil Nadu,Tiruppur,2025,3,97,181
Rajasthan,Jaipur,2025,3,177,380
Uttar Pradesh,Ghazipur,2025,3,83,69
Madhya Pradesh,Betul,2025,3,67,194
Gujarat,Morbi,2025,3,162,116
Maharashtra,Yavatmal,2025,3,128,420
Tamil Nadu,Salem,2025,3,148,167
Karnataka,Chikmagalur,2025,3,15,91
Tripura,Sepahijala,2025,3,60,30
Gujarat,The Dangs,2025,3,26,53
Karnataka,Chikkaballapur,2025,3,57,68
Karnataka,Chamarajanagar,2025,3,18,81
Odisha,Khordha,2025,3,11,75
Tamil Nadu,Thoothukkudi,2025,3,37,111
Jharkhand,Hazaribagh,2025,3,345,327
Maharashtra,Mumbai Suburban,2025,3,49,41
Maharashtra,Sangli,2025,3,183,129
Andhra Pradesh,West Godavari,2025,3,104,51
Kerala,Thrissur,2025,3,26,50
Uttarakhand,Pithoragarh,2025,3,20,11
Tamil Nadu,Tiruchirappalli,2025,3,61,106
Assam,Jorhat,2025,3,20,12
Andhra Pradesh,Visakhapatnam,2025,3,257,86
Kerala,Alappuzha,2025,3,33,58
West Bengal,Purba Bardhaman,2025,3,21,46
Gujarat,Arvalli,2025,3,184,97
Uttar Pradesh,Lucknow,2025,3,88,90
Rajasthan,Baran,2025,3,34,54
Karnataka,Uttara Kannada,2025,3,12,25
Kerala,Thiruvananthapuram,2025,3,25,57
Uttar Pradesh,Pratapgarh,2025,3,580,609
Haryana,Sirsa,2025,3,433,851
Andhra Pradesh,West Godavari,2025,3,216,208
Tamil Nadu,Vellore,2025,3,527,500
Andhra Pradesh,Prakasam,2025,3,134,72
Bihar,Saharsa,2025,3,387,876
Uttar Pradesh,Mainpuri,2025,3,208,166
Tamil Nadu,Salem,2025,3,125,172
Haryana,Panchkula,2025,3,43,59
Kerala,Palakkad,2025,3,65,125
Tamil Nadu,Pudukkottai,2025,3,272,402
Gujarat,Anand,2025,3,97,358
Assam,Nagaon,2025,3,10,35
Madhya Pradesh,Katni,2025,3,47,306
Odisha,Sambalpur,2025,3,75,179
Bihar,Madhubani,2025,3,72,182
Odisha,Ganjam,2025,3,63,94
Uttarakhand,Tehri Garhwal,2025,3,57,86
Punjab,Gurdaspur,2025,3,233,707
Arunachal Pradesh,Papum Pare,2025,3,68,234
Andhra Pradesh,Warangal,2025,3,29,70
Himachal Pradesh,Kangra,2025,3,115,188
Nagaland,Kohima,2025,3,18,182
West Bengal,North 24 Parganas,2025,3,109,141
Uttar Pradesh,Ambedkar Nagar,2025,3,68,85
Andhra Pradesh,Nellore,2025,3,36,49
Tamil Nadu,The Nilgiris,2025,3,58,38
Andhra Pradesh,Vizianagaram,2025,3,342,138
Uttar Pradesh,Shamli,2025,3,95,46
Assam,Karimganj,2025,3,71,66
Telangana,Jagitial,2025,3,19,29
Karnataka,Dakshina Kannada,2025,3,33,53
Gujarat,Sabarkantha,2025,3,27,211
Bihar,Saran,2025,3,131,241
Haryana,Jhajjar,2025,3,14,55
Uttar Pradesh,Ballia,2025,3,32,64
Madhya Pradesh,Shajapur,2025,3,726,794
Uttar Pradesh,Agra,2025,3,625,595
Tamil Nadu,Theni,2025,3,375,541
Bihar,Madhubani,2025,3,631,539
Jharkhand,Ramgarh,2025,3,124,85
Bihar,West Champaran,2025,3,776,1034
Uttar Pradesh,Gorakhpur,2025,3,274,574
Uttar Pradesh,Agra,2025,3,692,308
Haryana,Hisar,2025,3,546,976
Maharashtra,Latur,2025,3,761,1832
Kerala,Alappuzha,2025,3,24,84
Bihar,Siwan,2025,3,55,121
Maharashtra,Osmanabad,2025,3,230,461
Mizoram,Aizawl,2025,3,169,53
Kerala,Malappuram,2025,3,111,112
Haryana,Sonipat,2025,3,73,167
Maharashtra,Bhandara,2025,3,162,476
West Bengal,Purba Medinipur,2025,3,199,222
Meghalaya,East Khasi Hills,2025,3,50,134
Andhra Pradesh,Guntur,2025,3,219,136
Tamil Nadu,Virudhunagar,2025,3,108,57
Karnataka,Bengaluru,2025,3,257,268
Tamil Nadu,Cuddalore,2025,3,415,173
West Bengal,Paschim Medinipur,2025,3,48,51
Odisha,Cuttack,2025,3,65,142
Maharashtra,Nagpur,2025,3,46,113
Tamil Nadu,Thiruvarur,2025,3,134,226
Uttar Pradesh,Amethi,2025,3,61,89
West Bengal,Nadia,2025,3,35,63
Andhra Pradesh,Ananthapuramu,2025,3,236,35
Andhra Pradesh,Alluri Sitharama Raju,2025,3,14,23
Bihar,Darbhanga,2025,3,60,65
Bihar,Darbhanga,2025,3,45,121
Uttarakhand,Champawat,2025,3,26,44
Bihar,Saran,2025,3,86,176
Kerala,Pathanamthitta,2025,3,27,91
Andhra Pradesh,Ananthapuramu,2025,3,77,9
West Bengal,Purba Bardhaman,2025,3,14,39
Karnataka,Davangere,2025,3,57,58
Goa,South Goa,2025,3,26,22
Uttar Pradesh,Meerut,2025,3,2202,1058
Assam,Kamrup Metro,2025,3,45,95
Tamil Nadu,Viluppuram,2025,3,113,143
Uttar Pradesh,Bahraich,2025,3,1103,474
Uttar Pradesh,Mainpuri,2025,3,415,230
Assam,Sonitpur,2025,3,88,46
Kerala,Palakkad,2025,3,54,88
Andhra Pradesh,Vizianagaram,2025,3,197,70
Uttar Pradesh,Gonda,2025,3,1245,300
Tamil Nadu,Tirupattur,2025,3,104,37
Uttar Pradesh,Bara Banki,2025,3,290,124
Uttarakhand,Uttarkashi,2025,3,43,48
Chandigarh,Chandigarh,2025,3,135,244
Karnataka,Bengaluru,2025,3,402,622
Andhra Pradesh,Kurnool,2025,3,131,66
Madhya Pradesh,Dhar,2025,3,356,545
Chhattisgarh,Bijapur,2025,3,287,147
Haryana,Jind,2025,3,83,201
Gujarat,Bhavnagar,2025,3,247,268
Andhra Pradesh,Guntur,2025,3,344,135
Tamil Nadu,Tirunelveli,2025,3,20,169
Karnataka,Bellary,2025,3,107,48
Jharkhand,Palamu,2025,3,371,217
Kerala,Malappuram,2025,3,127,127
Assam,Cachar,2025,3,103,108
Tamil Nadu,Cuddalore,2025,3,167,131
Madhya Pradesh,Vidisha,2025,3,118,107
Odisha,Rayagada,2025,3,136,107
Maharashtra,Ahmadnagar,2025,3,18,53
Odisha,Mayurbhanj,2025,3,177,241
Karnataka,Mysuru,2025,3,27,18
Odisha,Cuttack,2025,3,54,86
Gujarat,Rajkot,2025,3,58,60
Odisha,Sundergarh,2025,3,46,50
Karnataka,Belgaum,2025,3,61,56
Uttarakhand,Pithoragarh,2025,3,27,26
Bihar,Muzaffarpur,2025,3,49,34
Gujarat,Jamnagar,2025,3,15,52
Andhra Pradesh,Khammam,2025,3,47,136
Maharashtra,Jalgaon,2025,3,691,1827
Kerala,Alappuzha,2025,3,33,51
Maharashtra,Mumbai,2025,3,210,899
Tamil Nadu,Coimbatore,2025,3,147,105
Rajasthan,Udaipur,2025,3,180,260
Uttar Pradesh,Etawah,2025,3,796,351
Jharkhand,Godda,2025,3,551,359
Assam,Udalguri,2025,3,464,153
Uttar Pradesh,Moradabad,2025,3,746,207
Gujarat,Surat,2025,3,263,469
